title,project,issue_type
"AngularJS binding does not update when IE's clear button is clicked",angular.js,BUG
"$sce.trustAsHtml() rejects data-* attributes",angular.js,BUG
"input validation error with type number and IE",angular.js,BUG
"ngClass fails to update class when initial value is `false`",angular.js,BUG
"Using ng-cloak in IE9 prevents Enter key from submitting the form.",angular.js,BUG
"Directive requiring can't find camelCased directive with a data prefix",angular.js,BUG
"Different DOM when using template vs templateUrl with replace true",angular.js,BUG
"ngSanitize linky filter incorrectly converts query key html entities to entity numbers.",angular.js,BUG
"ngRoute should support route params containing urlencoded slashes",angular.js,BUG
"Align behavior of deep $watch and $watchCollection",angular.js,BUG
"angular.equals issue with objects containing custom toString methods.",angular.js,BUG
"As of v1.3.6, "./" links have different (buggy?) behaviour",angular.js,BUG
"angular.copy fails for objects implementing a forEach that depends on some internal state.",angular.js,BUG
"$minErr module loading error can cause truncated URLs",angular.js,BUG
"ngAnimate - ngIf - Element not updated before exit animation",angular.js,BUG
"number input filter is not working if we clear the value",angular.js,BUG
"Aborted requests on IE9 are not completed",angular.js,BUG
"$submitted is not set on sub ng-form",angular.js,BUG
"Proposal: update ng-src even when blank",angular.js,BUG
"Staggering animations are running simultaneously when using ng-class and ng-show",angular.js,BUG
"ngIf with replace:true on directive template",angular.js,BUG
"fix(ngClass): remove classes already on the dom",angular.js,BUG
"Max Digest Iteration loop triggered by using ng-bind with a filter that returns an Array",angular.js,BUG
"When trying to present data on second window on IE - null is shown",angular.js,BUG
"$log conflicts with other code that messes with console",angular.js,BUG
"If you use the linky filter in ngSanitize any html will be rendered as escaped html",angular.js,BUG
"Not able to get the index of the nested ng-repeat ",angular.js,BUG
"Odd behavior of validation when using "wrap()" inside a directive's compile method",angular.js,BUG
"fix($compile): Detect when a directive `compile` removes `tElement`",angular.js,BUG
"compile: when terminal=true mutation of tElement during compile breaks interpolation of following TextNode",angular.js,BUG
"Nested transclude issue 2",angular.js,BUG
"fix($interpolate): use the first end symbol that forms a valid expression",angular.js,BUG
"Preserve all $$ properties when call shallowClearAndCopy",angular.js,BUG
"$animate doesn't animate elements in multiElement: true directives",angular.js,BUG
"Interpolated expressions cannot contain }}",angular.js,BUG
"$locationChangeStart: difficult to preventDefault then allow via $location.path(newurl)",angular.js,BUG
"Make AngularJS & Polymer work together",angular.js,BUG
"iOS CSS animation flicker ngAnimate",angular.js,BUG
"ngResource doesn't copy properties of array created by TransformResponse",angular.js,BUG
"Radio button grouping extends outside ng-form",angular.js,BUG
"Updated angular extend to ignore undefined properties",angular.js,BUG
"angular.equals needs to test for double $",angular.js,BUG
"fix(ngTouch): leaving an swipe element must not terminate swiping",angular.js,BUG
"ng-hide animation flicker with Internet Explorer 11",angular.js,BUG
"Parent form prevents default even if child form has action="target" set",angular.js,BUG
"Bug found using $location and html5mode",angular.js,BUG
"IE11: form.control.$dirty attribute always true if placeholder has non-ascii chars and required attribute",angular.js,BUG
"IE9 - window.history.back() - $locationWatch() - infinite digest",angular.js,BUG
"$location.hash() behaves unexpectedly in Chrome for iOS",angular.js,BUG
"Make ng-src work for SVGImageElement's xlink:href",angular.js,BUG
"Multiple inputs with the same name bug",angular.js,BUG
"URL based basic auth causes an infinite digest loop when setting $location.path",angular.js,BUG
"model isnt't updated upon ESC in IE",angular.js,BUG
"Linky filter in angular-sanitize is ignoring last parenthesis in URL ending with a parenthesis",angular.js,BUG
"Custom <select> directive: Transclude and replace <option>s not working in IE9",angular.js,BUG
"jqLite('<div>') throws an error in an XHTML document",angular.js,BUG
"jQlite `.one` order incorrect",angular.js,BUG
"ng-include regression not fully fixed by #5247",angular.js,BUG
"Date string input validation",angular.js,BUG
"Focus lost when item in ng-repeat moves to an earlier position in an array",angular.js,BUG
"angular crashes on special query string (client routing)",angular.js,BUG
"Internal Url inconsistency with ng-href and location.path",angular.js,BUG
"autoscroll on long pages with animation causes ugly page jump",angular.js,BUG
"Urls without trailing slashes and with query parameters fail if there's a custom base.",angular.js,BUG
"fix($resource): functions in params should not be executed if overridden",angular.js,BUG
"fix(ngTouch): ngSwipe outside the boundaries",angular.js,BUG
"fix(select): ensure option list is repainted on IE9",angular.js,BUG
"ngRepeat incorrect animation",angular.js,BUG
"$httpProvider request interceptor doesn't work properly with a new config",angular.js,BUG
"ngMock $interval uses promises to fire callbacks which depend on $apply",angular.js,BUG
"fix($location): hijack area links too",angular.js,BUG
"touchend / mouseup listeners for ngSwipe should be bound to window",angular.js,BUG
"Directive with replace fails to merge its attributes with its template's attributes (e.g. ngClass, style etc)",angular.js,BUG
"input type="number" does not allow numbers with leading decimals on some browsers",angular.js,BUG
"Anchor links in HTML5 mode go to 'base url' and trigger a navigation event",angular.js,BUG
"ngModelController: trigger change when only property of model changes",angular.js,BUG
"<base href="./"> cause angularjs crash",angular.js,BUG
"ng-keypress does not work on Google Chrome Android browsers",angular.js,BUG
"angular.copy doesn't copy over none index properties of an array.",angular.js,BUG
"angular.copy not copying accessors (getters/setters)",angular.js,BUG
"Consider headers in '$http' cache",angular.js,BUG
"1.2-rc3 breaks combination of transclude and replace cause multidir error",angular.js,BUG
"regression: incorrect scope isolation error",angular.js,BUG
"Throw a better error when no routes are matched",angular.js,BUG
"$swipe does not handle a mechanism for properly unbinding callbacks bound via service",angular.js,BUG
"Directly modifying the URL path & search without any side effects.",angular.js,BUG
"ngAppRoot",angular.js,BUG
"Replacing input element in the directive re-attaches the formatters and parsers",angular.js,BUG
"$location.search not handling arrays when visiting the page by using a link with an array",angular.js,BUG
"URL out of sync with ng-view after a $routeChangeError",angular.js,BUG
"ngModel + ngList binding to array does not update view when model changes",angular.js,BUG
"ng-scope class is set on root DOM element linked with public linking function (returned by $compile()) even if directive does not create new scope",angular.js,BUG
"ngSrc doesn't work with <embed>",angular.js,BUG
"[RyuJit][Armel] Do not lose type information",coreclr,BUG
"[ARM64] Test failures with JitStress=2, JitStressRegs=2",coreclr,BUG
"ARM64 GCStress=3 failures",coreclr,BUG
"Different code behavior in Release and Debug mode.",coreclr,BUG
"Fix misnamed DAC",coreclr,BUG
"[RyuJIT/arm32][GCStress=3] Failures in GCStress=3 runs",coreclr,BUG
"[Arm64] JITMinopts=1 GC/LargeMemory/Allocation/finalizertest/finalizertest failing",coreclr,BUG
"Source/line info doesn't work on Windows for Windows PDBs",coreclr,BUG
"Unsafe.As produces incorrect data with Vectors (in Release)",coreclr,BUG
"[ARM64/Win] CoreCLR raises System.InvalidOperationException with asp.net benchmark",coreclr,BUG
"AssemblyName.GetAssemblyName throws exceptions on Linux and macOS",coreclr,BUG
"[RyuJIT/arm32][JitStress=2][JitStressRegs=3] Test failure: dlstack.cmd",coreclr,BUG
"Tiered jitting: We need a working x86 full-stack build so that the VS profiler team can test our feature",coreclr,BUG
"[RyuJIT/arm32] Assert failure: pImportSection == pModule->GetImportSectionForRVA(rva)",coreclr,BUG
"[ARM32] CompareExchange working wrong with clang3.9",coreclr,BUG
"[RyuJIT/arm64][JitStressRegs=0x80] Assertion failed 'regRecord->assignedInterval == nullptr'",coreclr,BUG
"[RyuJIT/arm64][JitStress=1] Assertion failed 'interval->physReg != REG_NA && interval->physReg != REG_STK'",coreclr,BUG
"Null reference in JITCompilationFinished",coreclr,BUG
"[ARM64] Failing Debug tests",coreclr,BUG
"[RyuJIT/armel] Assertion failed 'argValue->TypeGet() == TYP_STRUCT'",coreclr,BUG
"Debugging a stackalloc line takes multiple F10s",coreclr,BUG
"[RyuJIT/arm32] Test and automate testing of arm32 crossgen of all framework assemblies",coreclr,BUG
"Failed Debug.Assert prints the stacktrace twice to the console",coreclr,BUG
"[RyuJIT/arm32][GCStress=C] Failures in GCStress run",coreclr,BUG
"EventSource executes deferred commands in the wrong order. ",coreclr,BUG
"Failed to create memory dump /mA - GenInvokeEnumStackProviders failed, 0x8007007f",coreclr,BUG
"In certain cases, IEnumerator::MoveNext() throws System.InvalidProgramException",coreclr,BUG
"[Infrastructure/Windows] Remove spmi artifacts from cross component mscorlib builds on Windows.",coreclr,BUG
"[arm64] Assertion failed 'emitCurIG != emitPrologIG'",coreclr,BUG
"Weird inconsistency in types on IL evaluation stack",coreclr,BUG
"[RyuJIT/arm32][GCStress=4] Failures in GCStress run",coreclr,BUG
"[Arm64/Unix] tracing event fails GC Stress = 0xF",coreclr,BUG
"Building coreclr portable=false on a win10 machine should produce win10 packages",coreclr,BUG
"[ARM32] [GC] Incorrect stack unwinding",coreclr,BUG
"System.ValueTuple causes a StackOverflow when used in a large Dictionary.",coreclr,BUG
"[Arm32][Legacy Backend][R2R] mainv1/2.cmd fail",coreclr,BUG
"dbgshim.dll is not loadable on Windows Mobile Emulator (and likely other OneCore editions)",coreclr,BUG
"Transport nupkgs are symbol packages, which sometimes fail to be auto-converted to lib packages",coreclr,BUG
"[Arm64][Windows] Regressions",coreclr,BUG
"Add support for OpenSuse 42.2 in .NET CoreCLR 1.1.0",coreclr,BUG
"[RyuJIT] Unsigned binary operation with overflow check",coreclr,BUG
"Invalid program crashes 32bit RyuJIT in Lowering::IsBinOpInRMWStoreInd",coreclr,BUG
"Missing license header in test py files",coreclr,BUG
"JIT: instruction size mis-estimates can lead to CHK/REL diffs in codegen",coreclr,BUG
"fgReplacePred will attempt to remove Preds that do not exist.",coreclr,BUG
"Predecessor List does not always maintain sorted order.",coreclr,BUG
"Miscellaneous ReaderWriterLockSlim issues",coreclr,BUG
"[Arm32][Legacy Backend][GCStress 0x3] GCStress 0x3 Failures Generic Output",coreclr,BUG
"Stop building Ubuntu 16.10 on all branches",coreclr,BUG
"Test: readytorun_tests._mainv1_mainv1_/_mainv1_mainv1_cmd failed with "Xunit.Sdk.TrueException"",coreclr,BUG
"[Arm64 Windows] Use portable MP optimized new/alloc",coreclr,BUG
"[ARM32] `qemu: Unsupported syscall: 389` when running console app in Docker",coreclr,BUG
"Building tests not successful on Mac OSX 10.12",coreclr,BUG
"[Arm64 Windows] SpanBench.cmd fails with Assertion failed 'initBlkNode->AsDynBlk()->gtDynamicSize->gtRegNum == REG_ARG_2'",coreclr,BUG
"Test failure: Interop_BestFitMapping._BestFitMapping_BestFitMapping_/_BestFitMapping_BestFitMapping_cmd",coreclr,BUG
"CLR JIT does not use correct ARM32 calling convention for 8-byte return structs",coreclr,BUG
"Several jit64 tests fail in Helix on ARM",coreclr,BUG
"RyuJIT/x64 failure",coreclr,BUG
"[*nix|arm64] [FastTailCall] noway_assert(callerArgNum < comp->info.compArgsCount); in LowerFastTailCall",coreclr,BUG
"[ARM] Intermittent segfaults in JIT/Methodical/cctor/misc/threads1_cs_r",coreclr,BUG
"JitMinOptsTrackGCrefs and x86",coreclr,BUG
"[RyuJIT] Lowering is inconsistent in checking safety of RegOptional",coreclr,BUG
"Can the CoreCLR library be unloaded from the memory process?",coreclr,BUG
"Possible deacklock in type loader",coreclr,BUG
"Handle CopyFileW errors in crossgen WritePDBData()",coreclr,BUG
"StackFrame.GetILOffset returns -1 for ReJITted methods",coreclr,BUG
"Assert in JIT using the checked build Crossgen.exe",coreclr,BUG
"No line numbers from Exception.ToString() on Linux",coreclr,BUG
"[Arm64/Windows] Assembler out of date with respect to ARMv8 ARM syntax",coreclr,BUG
"[ARM32] In Checked/Debug build, JIT/Regression/CLR-x86-JIT/V1-M12-Beta2/b59782/b59782 raises an assertion",coreclr,BUG
"System.TimeZoneInfo.AdjustmentRule is missing object.Equals(object) override",coreclr,BUG
"Fix broken performance test infrastructure",coreclr,BUG
"[amd64 Unix|arm64] fastTailCall stack fixup NYI if TYP_STRUCT ",coreclr,BUG
"[Arm64/Unix] GC Fails",coreclr,BUG
"Intermittent failures in x64_checked_windows_nt_pri1r2r jobs",coreclr,BUG
"[ARM32] In Debug build, JIT/Methodical/fp/exgen/10w5d_cs_do fails",coreclr,BUG
"'Inspecting the state of an object in the debuggee of type System.Type' error for non-reflection related type",coreclr,BUG
"Investigate Condition21.Test5 failure in TailcallVerifyWithPrefix",coreclr,BUG
"Investigate Condition21.Test4 failure in TailcallVerifyWithPrefix",coreclr,BUG
"crossgen crashes / core dumps in most corefx Unix CI legs",coreclr,BUG
"[RyuJIT] TailcallStress needs to check more conditions",coreclr,BUG
"Runtime should recognize IsByRefLike attribute and treat the types that have it as ref-like",coreclr,BUG
"[Arm64] Infinite recursion while looking for resource",coreclr,BUG
"Error "Class not registered" when building inject_debug_resources.vcxproj",coreclr,BUG
"ICorProfilerInfo6::EnumNgenModuleMethodsInliningThisMethod may fail to report inlining sites in some cases",coreclr,BUG
"[RyuJIT/ARM32] Lack of GTF_IND_UNALIGNED support",coreclr,BUG
"Can AsyncMethodBuilder trust MoveNext?",coreclr,BUG
"[Question] Comparison of dynamic binding performance of CoreCLR by architecture",coreclr,BUG
"ILAsm: Certain fundamental types may have their assembly references changed",coreclr,BUG
"[x86/Linux] LSRA gtLsraInfo.srcCount value for long type",coreclr,BUG
"[x86/Linux] Call with an struct argument having long member",coreclr,BUG
"GCStress is not safe when not using per-thread allocation contexts",coreclr,BUG
"Vector<T> showing up incorrectly in debugger",coreclr,BUG
"[Arm64][2-Failures] No Exception thrown",coreclr,BUG
"Don't copy *-ms-win-* into non-windows test overlay",coreclr,BUG
"Incorrect (?) optimizations of overlapped struct copy in unsafe code",coreclr,BUG
"AutoResetEventReSet test failed in CI on Windows",coreclr,BUG
"[RyuJIT/arm32] Generate memory barrier instructions for the GTF_IND_VOLATILE or GTF_FLD_VOLATILE flags.",coreclr,BUG
"Type validation holes when using Reflection to invoke a method with a void* parameter.",coreclr,BUG
"Need better diagnostics for EventSource event ID conflicts",coreclr,BUG
"Delegate.CreateDelegate() - parameter validation hole.",coreclr,BUG
"[Win 7, Linux/x64] Tests fail with COMPlus_JitELTHookEnabled",coreclr,BUG
"[RyuJIT] Expression a % 0 sometimes generates incorrect code.",coreclr,BUG
"Method chaining on dynamic object throws StackOverflowException",coreclr,BUG
"Unbalanced ICorProfilerCallback calls when using profiling api",coreclr,BUG
"LclVarDsc::lvRefCnt and CSEdsc::csdUseCount oveflow with a large number of basic blocks",coreclr,BUG
"x86: noway_assert(compiler->opts.compDbgCode) in codegenlegacy.cpp line 11374",coreclr,BUG
"x86 legacy backend: ShowLocallocAlignment test failure",coreclr,BUG
"JIT: Loop hoisting re-ordering exceptions",coreclr,BUG
"Type.GetInterface(string, bool) - NullReferences to unguarded Type.Namespace call.",coreclr,BUG
"fgMakeTmpArgNode shouldn't set TYP_STRUCT on an address",coreclr,BUG
"ARM64: Hang under gcstress0x3",coreclr,BUG
"[ARM/Linux] It's not clear that a workaround required to run ARM/Release [was: SIGSEGV running all tests]",coreclr,BUG
"Failure in baseservices\threading\mutex\misc\waitone2",coreclr,BUG
"Debugging with Debugger Type: Auto does not work with .Net Core",coreclr,BUG
"JIT.jit64.opt.cse.HugeArray1.HugeArray1 seg faults on RHEL7.2",coreclr,BUG
"coreclr native build seems over parallelized",coreclr,BUG
"double.GetHashCode and double.Equals do not agree (When NaN and -NaN are compared for equality)",coreclr,BUG
"RyuJIT drops unused volatile reads.",coreclr,BUG
"ARM64 GCStress: Assert failure: m_alignpad == 0",coreclr,BUG
"Compiler::gtUpdateSideEffects is incorrect.",coreclr,BUG
"Convert.ChangeType throws exception when converting Double.MaxValue",coreclr,BUG
"[MultiCore JIT] AF: UnsafeVerifyLookupAssembly(this, pSpec, pAssembly) ",coreclr,BUG
"ARM64 GCStress: Corrupt SyncBlock",coreclr,BUG
"Assert - Type Too Big to log for ETW",coreclr,BUG
"parameterBuilder.SetConstant NullReferenceException",coreclr,BUG
"GCStress: Race with GCStress Instruction update",coreclr,BUG
"Enable R2R Generics support for Arm platforms",coreclr,BUG
"It doesn't support keyword Lock when debugging the clrcore by visual studio",coreclr,BUG
"Malformed recursive generic types can cause CrossGen crash or hang",coreclr,BUG
"ARM64 GCStress: Assert in StackWalk of Funclet",coreclr,BUG
"Jit EH: Finally-inside-filter control flow inversion",coreclr,BUG
"Cross platform remote debugging with lldb-3.8+libsosplugin.so doesn't work",coreclr,BUG
"Fix logic to calculate tls offset of Thread* in mscordbi",coreclr,BUG
"ARM64: Localloc is over allocating stack space for small allocations (32 bytes or less)",coreclr,BUG
"ARM64: Remove the unnecessary copying of the PSPSym when we do a localloc",coreclr,BUG
"Internal overflow bug in string.Join(string[]) when passing huge strings",coreclr,BUG
"Additional work to prevent StackOverflows in the JIT/NGEN/Crossgen",coreclr,BUG
"Recursive implementation of Compiler::gtSetListOrder can cause StackOverflow during JIT",coreclr,BUG
"Decimal.GetHashCode shouldn't generate different values for numbers with different scale",coreclr,BUG
"The build tools for Visual Studio 2010 (Platform Toolset = 'v100') cannot be found",coreclr,BUG
"Move unsupported non Windows tests from tests/testsFailingOutsideWindows.txt to tests/testsUnsupportedOutsideWindows.txt ",coreclr,BUG
"ILDASM incorrectly reconstruct EH clauses",coreclr,BUG
"Implement proper interop to PInvoke for structs contataining an object ref",coreclr,BUG
"Vector min/max do not handle NaNs consistently",coreclr,BUG
"Cross Platform symbols from ref-emit apis",coreclr,BUG
"Interpreter: volatile ldobj appears to have incorrect semantics?",coreclr,BUG
"SqlMapper.AddTypeHandler doesnt reset internal deserializer cache",Dapper,BUG
"FatalExecutionEngineError when using struct and SqlMapper on 1.50.2 ",Dapper,BUG
"QueryAsync<T> Does Not Ever Return If Zero Results",Dapper,BUG
"Materialization into read only properties broken?",Dapper,BUG
"Passing parameters object with static property causes dapper to fail with cryptic exception.",Dapper,BUG
"Blocking method called in async method",Dapper,BUG
"QueryMultiple in mono",Dapper,BUG
"Dapper custom TypeHandler SetValue not being called?",Dapper,BUG
"Custom type handlers for enums are ignored",Dapper,BUG
"Non-nullable TypeHandler passed DBNull when selecting scalar results",Dapper,BUG
"MultiMap does not return null object in left-outer-join if splitting on a surrogate key that is not a property on the target object.",Dapper,BUG
"Dapper appears to make Oracle bind variables case-sensitive",Dapper,BUG
"'Multi connections' configuration problem in <dubbo-user-book>",dubbo,BUG
"Add a new property in DTO on provider side, consumer can not recognize the new property",dubbo,BUG
"dubbo:protocol codecä¸?å?¯ç”¨ï¼Œä¸?èƒ½é…?ç½®ï¼Œä¹Ÿä¸?èƒ½æ‰©å±•",dubbo,BUG
"dubbo-2.5.7 RmiProtocol RmiRemoteInvocation å…¼å®¹æ€§é—®é¢˜",dubbo,BUG
"JSON.json(Locale) throw StackOverflowError",dubbo,BUG
"å?¯åŠ¨è„šæœ¬åœ¨rh7/centos7ä¸‹ncæ£€æµ‹dubboç«¯å?£å¤±è´¥é—®é¢˜",dubbo,BUG
"æ˜¾ç¤ºè°ƒç”¨ReferenceConfig.destory()æ–¹æ³•ç¼ºé™·",dubbo,BUG
"ä½¿ç”¨dubbo2.5.4å‡ºçŽ°compile error: getPropertyValue (Ljava/lang/Object;Ljava/lang/String;)Ljava/lang/Object; in com.alibaba.dubbo.common.bytecode.Wrapper6: inc onsistent stack height 5",dubbo,BUG
"Wrapperçš„deal with get/set methodçš„ä½œç”¨",dubbo,BUG
"download_dsyms action crashes when downloading from multiple iTunesConnect teams",fastlane,BUG
"Snapshot support for macOS projects",fastlane,BUG
"Passing group names with space to `pilot add` fails",fastlane,BUG
"Fastlane Precheck fails with 'Failed: No broken urls-> unreachable URLs in app metadata'",fastlane,BUG
"[Regression] Setting env var directly bypasses verify block",fastlane,BUG
"Unknown device type for size iOS-5.8-in fastlane frameit",fastlane,BUG
"Match can't find certificate in repo if run again.",fastlane,BUG
"[scan] Question: what's the correct way of specifying iOS version in scan?",fastlane,BUG
"[snapshot] 'iPad Pro (12.9-inch)' screenshot size 1 pixel off when running via iOS11/Xcode9",fastlane,BUG
"issue template: fastlane's --capture_output includes Fastfile and other config files, which have Slack webhook URLs and other private credentials in them",fastlane,BUG
"REDO #9405 cert checker aborts execution if the desired certificate is already present",fastlane,BUG
"if API 404s fastlane dies",fastlane,BUG
"Screengrab: `reinstall_app true` causes failure on Android >= API 25 without app installed",fastlane,BUG
"Unsupported screen size [1668, 2224] - iPad Pro10.5 inch",fastlane,BUG
"Permission denied when packaging readonly directories",fpm,BUG
"fpm 1.3.0 fails to build npm rpm packages",fpm,BUG
"cli: empty -d "" should be a failure validated by fpm",fpm,BUG
"--config-files in conflict with --prefix option",fpm,BUG
"Gem builds fail if folder in working directory matches gem name",fpm,BUG
"Can create deb files with invalid name",fpm,BUG
"Config file not copied into build directory",fpm,BUG
"Weird permissions on prefix/top-level directory for tar to deb",fpm,BUG
"Mapping source=dest ignores excludes",fpm,BUG
"CPAN build fails when recursive dependencies are not installed",fpm,BUG
"Generating puppet manifest failed",fpm,BUG
"postbuild rpm install fails on different machine with: cpio: MD5 sum mismatch",fpm,BUG
